"account_name","followers","number_tweets","mean_favorites_per_tweet","mean_retweets_per_tweet","best_time_fav","best_time_rt","best_day_fav","best_rt_fav"
"@amckennafoster",3,14,0.428571428571429,1.42857142857143,"12","12","Sun","Sun"
"@arcticdatactr",760,576,2.09201388888889,6.43402777777778,"15","15","Mon","Mon"
"@CUAHSI",3409,2998,1.29119412941961,3.27951967978652,"22","22","Mon","Tue"
"@DataONEorg",3725,1194,1.78391959798995,2.31323283082077,"22","22","Sat","Tue"
"@DougSchuster3",233,3197,0.0340944635595871,559.368470441038,"20","00","Sat","Sat"
"@drthevic",909,1156,3.96712802768166,3285.57525951557,"11","02","Mon","Mon"
"@EDIgotdata",521,2777,0.314007922218221,2.90961469211379,"04","04","Wed","Mon"
"@ESSDIVE",85,46,4.06521739130435,2.65217391304348,"08","21","Tue","Tue"
"@frankatsea",180,181,1.23756906077348,681.911602209945,"05","08","Thu","Sun"
"@GarretsonAlexis",358,747,1.96117804551539,96.6867469879518,"17","07","Sat","Mon"
"@gmrt_bathy",87,14,5.07142857142857,11.9285714285714,"14","14","Mon","Mon"
"@hsu000001",437,227,1.76211453744493,2.63436123348018,"00","17","Sun","Sun"
"@jensensunny",107,294,0.527210884353742,191.503401360544,"12","12","Fri","Fri"
"@kbene",197,462,0.188311688311688,4.57142857142857,"08","09","Wed","Wed"
"@lstanish",201,916,0.474890829694323,217.46943231441,"02","08","Wed","Mon"
"@m_cragin",230,236,0.127118644067797,128.927966101695,"00","03","Fri","Fri"
"@macromicropaleo",863,3176,1.46064231738035,3300.71599496222,"08","09","Sat","Sat"
"@MarshallXMa",344,1232,0.711038961038961,167.611201298701,"05","05","Sun","Sun"
"@metamattj",627,1772,0.757336343115124,644.034988713318,"16","16","Sat","Fri"
"@MGDSdata",40,12,1.41666666666667,3.25,"09","09","Tue","Tue"
"@michael_ts0",119,227,1.38325991189427,44.352422907489,"01","03","Tue","Wed"
"@NASAEarthData",25951,3200,8.2975,108.36375,"07","07","Mon","Mon"
"@NCAR_ACOM",824,999,1.62862862862863,58.9109109109109,"17","13","Sun","Wed"
"@NCAR_CISL",1347,1459,1.42152159013023,5.91912268677176,"07","06","Mon","Mon"
"@NCAR_RDA",580,3200,0.0321875,56.0815625,"18","18","Wed","Wed"
"@NCAR_Science",24728,3197,5.82421019705974,35.8554895214263,"06","06","Mon","Thu"
"@ndlibraries",2574,3189,1.50047036688617,10.618062088429,"05","04","Sat","Tue"
"@NEON_sci",6524,3184,1.79930904522613,12.2427763819095,"04","02","Sun","Sun"
"@nkmeyers",333,853,1.1137162954279,2.24267291910903,"14","11","Mon","Mon"
"@nsidc",16340,3072,5.78971354166667,44.4733072916667,"21","22","Mon","Tue"
"@obrienmobb",43,99,0.323232323232323,840.343434343434,"15","16","Mon","Tue"
"@opendap",72,89,0.157303370786517,61.247191011236,"16","12","Sat","Thu"
"@scdiggs",294,165,1.6969696969697,2973.7696969697,"21","23","Mon","Thu"
"@sciencegateways",798,2879,1.04411253907607,36.4793331017714,"21","21","Sun","Mon"
"@sjeanetteclark",86,16,2.3125,6.1875,"11","14","Thu","Thu"
"@sjskhalsa",197,350,0.348571428571429,824.691428571429,"23","17","Mon","Mon"
"@smrariz",83,159,0.188679245283019,5581,"00","08","Tue","Tue"
"@tandfenviro",2268,3171,0.756543677073478,15.7385682749921,"23","23","Wed","Sun"
"@twilamoon",2987,2432,3.13363486842105,145.229029605263,"11","11","Tue","Tue"
"@umbc",17138,3197,9.67813575226775,6.72067563340632,"20","18","Sun","Sun"
"@USGS_CDI",762,340,0.997058823529412,0.891176470588235,"00","00","Wed","Fri"
"@WHOI",26807,3196,14.2981852315394,16.5469336670839,"18","00","Sat","Sat"
"@yeshancqcq",68,10,1.1,4.3,"19","19","Tue","Tue"
